,disposition_CONFIRMED,disposition_CANDIDATE,disposition_FALSE POSITIVE,disposition_REFUTED,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,st_rad,st_raderr1,st_radlim,ra,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
162,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.1698,0.628461,0.04342,0.0,175.206752,436.488,14.983,0.114,0.03,0.00051
163,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.16959,0.6122922000000001,0.034684000000000006,0.0,175.206752,436.488,14.983,0.114,0.03,0.00051
164,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.16888,0.628,0.025,0.0,175.206752,436.488,14.983,0.114,0.03,0.00051
165,0.0,1.0,0.0,0.0,1.0,1.0,0.0,12.3389,0.628,0.025,0.0,175.206752,436.488,14.983,0.114,0.03,0.00051
166,0.0,1.0,0.0,0.0,1.0,1.0,0.0,12.339133,0.73,0.035084000000000004,0.0,175.206752,436.488,14.983,0.114,0.03,0.00051
167,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.89465,0.702,0.059,0.0,176.8902497,270.109,15.24,0.149,0.021,0.00043
168,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.83794,0.809,0.162,0.0,177.987935,155.4257,14.18,0.04,0.021,0.000564
169,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.24086,0.809,0.162,0.0,177.987935,155.4257,14.18,0.04,0.021,0.000564
170,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2790.0,0.93,0.09,0.0,170.9969231,409.502,11.568,0.027,0.023,0.000679
171,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.91058,1.028,0.222,0.0,176.6671476,489.318,13.425,0.114,0.023,0.000262
172,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.2692,1.29,0.12,0.0,174.1067018,399.976,13.171,0.092,0.025,0.000283
173,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.270642,0.9,0.1347018,0.0,174.1067018,399.976,13.171,0.092,0.025,0.000283
174,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.2671,1.028,0.266,0.0,174.1067018,399.976,13.171,0.092,0.025,0.000283
